CNS Inc, CNS,",  Inc. ",
CNS Therapeutics Inc, CNS Therapeutics,",  Inc. ",
COBE Cardiovascular(COBE Lab), COBE Laboratories,",  Inc.",
COBE Laboratories Inc, COBE Laboratories,",  Inc. ",
COR Therapeutics Inc, COR Therapeutics,",  Inc. ",
CORE Dynamics Inc, ,,
CR Bard Inc-License, ,,
CR Bard-Bard/EMS Electrosurgry, ,,
CR Bard-Endoscopic Prod Line, ,,
CRi, ,,
CSA Engineering Inc, ,,
CTI Technologies Inc-Trisenox, ,,
CV Therapeutics Inc, CV Therapeutics,",  Inc. ",
Cabot Medical Corp, ,,
Calgene Inc(Monsanto Co), Calgene Incorporated ,,
Caliper Life Sciences Inc, Caliper Life Sciences,",  Inc. ",
Calydon Inc, Calydon,",  Inc. ",
Calypso Med Tech Inc, Calypso Medical Technologies,",  Inc. ",
CambridgeSoft Corp, ,,
Cameron Health Inc, Cameron Health,",  Inc. ",
Canji, Canji,",  Inc. ",
Cardiac Pathways Corp, Cardiac Pathways,",  Inc. ",
CardioDynamics Intl Corp, CardioDynamics International Corporation ,,
CardioThoracic Systems Inc, CardioThoracic Systems,",  Inc. ",
Cardiocom LLC, ,,
Cardiometrics Inc, Cardiometrics,",  Inc. ",
Cardiovascular Imaging Systems, Cardiovascular Imaging Systems,",  Inc. ",
Cardiovascular Systems Inc, Cardiovascular Systems,",  Inc. ",
Castle Co(Sybron Corp), Sybron Dental Specialties,",  Inc.",
Cavitron Corp, ,,
Celsion Corp-Prolieve Assets, ,,
Cemax-Icon Inc, ,,
Cetus Corp, Cetus Corporation ,,
Cetus Corp-GeneAmp Polymerase, ,,
Chattanooga Group Inc, Chattanooga Group,",  Inc. ",
Chattem Inc, ,,
Chesebrough-Pond's-Hosp Prod, ,,
Chiron Diagnostics Corp, ,,
Chiron Vision(Chiron Corp), Chiron Corporation,,
Chrysalis BioTechnology Inc, Chrysalis International Corporation ,,
Clarient Inc, Clarient,",  Inc. ",
Clontech Lab Inc, Clontech Laboratories,",  Inc. ",
CoCensys Inc, CoCensys,",  Inc. ",
Codon Pharmaceuticals Inc, CoDa Therapeutics,",  Inc. ",
Coelacanth Corp, ,,
Collateral Therapeutics Inc, Collateral Therapeutics,",  Inc. ",
CombiChem, CombiChem,",  Inc. ",
Compex Technologies Inc, ,,
CompuCyte Corp-Pathfinder, CompuCyte Corporation ,,
Computer Motion Inc,,,
Conax Corp,,,
Concentric Medical Inc, Concentric Medical,",  Inc. ",
Concept Inc, Concept,",  Inc. ",
Concorde Microsystems Inc,,,
Confluent Surgical Inc, Confluent Surgical,",  Inc. ",
Conor Medsystems Inc, Conor Medsystems,",  Inc. ",
Consep Inc, ,,
Continental X-Ray Corp, ,,
Continuum Electro-Optics Inc, Continuum Healthcare,",  Inc. ",
Cooper Lasersonics Inc-Ion, Cooper Laboratories,",  Inc ",
CooperSurgical Inc, Cooper Holdings ,,
Cordis Corp, Cordis Corporation ,,
Corixa Corp, Corixa Corporation ,,
Corus Pharma Inc, Corus Pharma,",  Inc. ",
Corvas International Inc, Corvas International,",  Inc. ",
Corvita Corp, Corvita Corporation ,,
Costar Corp, ,,
Creative BioMolecules Inc-OP 1, Creative BioMolecules,",  Inc. ",
CryoCor Inc, CryoCor,",  Inc. ",
CryoVascular Systems Inc, CryoVascular Systems,",  Inc. ",
CyDex Pharma Inc, CyDex Pharmaceuticals,",  Inc. ",
Cytel Corp, ,,
CytoMed Inc, CytoMed,",  Inc. ",
Cytovia Inc, ,,
DEKALB-PFIZER GENETICS, ,,
DLP Inc, ,,
Dacomed Corp, ,,
Dahlberg Inc, Dahlberg,",  Inc. ",
Damon Biotech Inc(Damon Corp), ,,
Damon Corp, ,,
Datascope Corp, Datascope Corporation ,,
DeKalb Genetics Corp, ,,
Delmed Inc, Delmed,",  Incorporated ",
Dentsply International Inc, Dentsply International,",  Inc. ",
DepoTech Corp, ,,
Dexter Corp, ,,
Diacrin Inc, ,,
Diagnostic Hybrids Inc, Diagnostic Hybrids,",  Inc. ",
Diagnostic Systems Lab Inc,,,
Diamond Sensor Systems Inc, Diamond Sensor Systems,",  Inc. ",
Digene Corp, Digene Corporation ,,
Diomed Inc, Diomed,",  Inc. ",
Direct Radiography Corp, ,,
Dome Imaging Systems Inc, ,,
E-Z-EM Inc, ,,
EI du Pont de Nemours-Pharm, ,,
EP Technologies Inc, EP Technologies,",  Inc. ",
Ecton Inc, Ecton,",  Inc. ",
EdenTec Corp, Eden Tec Corporation ,,
Edward Weck Inc-Certain Assets, ,,
Edwards Lifesciences Corp-, ,,
Edwards Lifesciences Corp-Life, ,,
Edwards Lifesciences-Lifespan, ,,
Edwards Lifesciences-Novacor, ,,
Electro-Biology Inc, Electro-Biology,",  Inc. ",
Electro-Nucleonics Inc, Nucleonics,",  Inc.",
Electromedics Inc, Electromed International,",  Ltd. ",
Eli Lilly & Co-Capsule Bus, ,,
Eli Lilly & Co-Greenfield Labs, ,,
Eli Lilly & Co-OpRA III, ,,
Emergent Genetics Inc, Emergent Respiratory LLC ,,
Empi Inc, Empi,",  Inc. ",
Encore Orthopedics Inc, ,,
EndoSonics Corp, Endosonics Corporation ,,
EndoVascular Technologies Inc, EndoVascular Technologies,",  Inc. ",
Endocardial Solutions Inc, Endocardial Solutions,",  Inc. ",
Endocare Inc, Endocare,",  Inc. ",
Endologix Inc, Endologix,",  Inc ",
Enhance Pharmaceuticals Inc, ,,
Enterix Inc, Enterix,",  Inc. ",
Enzo Biochem Inc, Enzo Biochem ,,
Enzon Pharm Inc-Pharm Bus, Enzon Parmaceuticals,",  Inc.",
Enzytech Inc, Enzytech,",  Inc. ",
Eos Biotechnology, Eos Biotechnology,",  Inc. ",
Epic Therapeutics Inc, Epic Therapeutics,",  Inc. ",
Epimmune Inc, Epimmune,",  Inc. ",
Epoch Biosciences Inc, Epoch Biosciences,",  Inc. ",
Escalon Ophtalmics Inc, ,,
Esperion Therapeutics Inc, Esperion Therapeutics,",  Inc. ",
Evalve Inc, Evalve,",  Inc. ",
Excel Technology Inc,,,
Exogen Inc, Exogen,",  Inc. ",
Fairchild Imaging Inc, ,,
FemRx Inc, FemRx ,,
Flex-Foot Inc, ,,
FluoroScan Imaging Systems, ,,
Focal Inc, ,,
Fortron Bio Science Inc, ,,
Frigitronics Inc, ,,
GD Searle & Co, ,,
Gel Sciences Inc,,,
GelTex Pharmaceuticals Inc, GelTex Pharmaceuticals,",  Inc. ",
GenDerm Corp, GenDerm Corporation ,,
GenPharm International Inc, GenPharm International,",  Inc. ",
GeneMedicine Inc, GeneMedicine,",  Inc. ",
Genelabs Technologies Inc, Genelabs Technologies,",  Inc. ",
Genesoft Inc, GeneSoft Inc. ,,
Genetic Microsystems Inc, Genetic MicroSystems Inc ,,
Genetic Therapy Inc, Genetic Therapy,",  Inc. ",
Genetics Institute Inc, Genetics Institute,",  Inc. ",
Genex Corp, Genex Corporation ,,
Genovo Inc,  ,,
Genzyme Corp-Cardiothoracic, Genzyme Corporation ,,
Glaxo Welcome-Biopharm, ,,
Glaxo-Wellcome-NC Pharmaceutic, ,,
Gliatech Inc-Histamine H3,H4,",  Gliatech", Inc.
Glycomed Inc, Glycomed,",  Inc. ",
Gould Inc,  ,,
Great Lakes Chemical Corp, ,,
Grow Group Inc, ,,
Guilford Pharmaceuticals Inc, Guilford Pharmaceuticals,",  Inc. ",
Gynecare Inc, GyneCare,",  Inc. ",
Hacco Inc, ,,
Haemonetics Corp, Haemonetics Corporation ,,
Haemoscope Corp-TEG, ,,
Hausted Inc, Hausted Patient Handling Systems LLC ,,
Healthdyne Technologies Inc, Healthdyne,",  Inc.",
Healthpoint Ltd, ,,
Heartport Inc, Heartport,",  Inc. ",
Heartstream Inc, Heartstream,",  Inc. ",
HemoTec Inc, HemoTec,",  Inc. ",
Hemosphere Inc, Hemosphere,",  Inc. ",
Hoechst Marion Roussel-Drug, ,,
Hoffman-Soriatane Rights, ,,
Hologic Inc-LIFECODES Business, LifeCodes Corporation,,
Home Diagnostics Inc, Home Diagnostics,",  Inc. ",
Houston Biotechnology Inc, Houston Biotechnology,",  Inc. ",
Hudson Respiratory Care Inc, Hudson Respiratory Care,",  Inc. ",
Humagen Fertility Diagnostics, ,,
Human Genome Sciences Inc, ,,
Hycor Inc, Hycor Biomedical,",  Inc. ",
Hydrocision Inc-VersaJet Prod, HydroCision,",  Inc.",
Hyseq Inc, ,,
I-Flow Corp, I-Flow Corporation ,,
ICOS Corp, ,,
ILEX Oncology Inc, ILEX Oncology,",  Inc. ",
IMMCO Diagnostics Inc, IMMCO Diagnostics,",  Inc. ",
IRIDEX Corp-Aesthetic Business, IRIDEX Corporation,,
Icagen Inc, Icagen,",  Inc. ",
Icoria Inc, Icoria,",  Inc. ",
Ideas for Medicine Inc, ,,
Imagyn Med-Invasive Surgical, Imagyn Medical,",  Inc. ",
Immunex Corp, Immunex Corporation ,,
Immunex Corp-Leukine Business, Immunex Corporation,,
Immuno Pharmaceutics Inc, Immuno Pharmaceutics,",  Inc. ",
Implant Innovations Inc, Implant Innovations,",  Inc. ",
Implex Corp, Implex Corporation ,,
Impra Inc, ,,
InControl Inc, InControl,",  Inc. ",
InStent Inc, Insmed,",  Inc. ",
Inference Corp Carnegie, ,,
Infraredx Inc, InfraReDx,",  Inc. ",
Infrasonics Inc, Infrasonics,",  Inc. ",
Inhale Therapeutic Systems Inc, ,,
Inhibitex Inc, Inhibitex,",  Inc. ",
InnerCool Therapies Inc, Innercool Therapies,",  Inc. ",
Innotech Inc, Innotech,",  Inc. ",
InnovaQuartz Inc,  ,,
Innovasive Devices Inc, Innovasive Devices,",  Inc. ",
Innovation Sports Inc, ,,
Insmed Inc- Biologics Asts, Insmed,",  Inc. ",
Instromedix Inc, ,,
Integrated Genetics Inc, Integrated Genetics,",  Inc. ",
Intelect Medical Inc, Intelect Medical,",  Inc. ",
Intertech Resources Inc, Intertech Resources,",  Inc. ",
IntraLuminal Therapeutics Inc, IntraLuminal Therapeutics,",  Inc. ",
Intuitive Surgical Inc, Intuitive Surgical,",  Inc. ",
Invivo Corp,,,
Iolab Corp-Opthalmic Pharm, ,,
Isis Pharmaceuticals Inc, Isis Pharmaceuticals,",  Inc. ",
Isotis Inc, IsoTis OrthoBiologics B.V. ,,
Ivion Corp, Ivion Corp. ,,
JRH Biosciences Inc, ,,
Jaycor Inc, Jaycare,",  Ltd. ",
John O Butler Co, ,,
Johnson & Johnson Inc-Consumer, ,,
Johnson & Johnson Inc-Zantac, ,,
Johnson Engineering Corp, n,,
Kaz Inc, ,,
Kedman Co, ,,
Kendall Co, Kendall Co. ,,
Kensey Nash Corp-Endovascular, Kensey Nash Corporation ,,
KidPower Inc-Funnoodle Product, ,,
King Systems Corp, ,,
King Systems Inc, ,,
Kosan Biosciences Inc, KOSAN Biosciences,",  Inc. ",
Kremers-Urban Co (Rorer Group), ,,
LUMEX Division(Lumex Inc), ,,
Lab Safety Supply Inc, ,,
Laparomed Corp, Laparomed Corporation ,,
Leeman Labs Inc, ,,
LeukoSite Inc, LeukoSite,",  Inc. ",
Level 1 Technologies Inc, ,,
Liebel-Flarsheim Co(Volco Inc), ,,
LifeCell Corp, LifeCell Corporation ,,
LifeCodes Corp, LifeCodes Corporation ,,
Lifecore Biomedical Inc, LifeCore Biomedical,",  Inc. ",
Lightlab Imaging LLC, ,,
Liposome Co Inc, Liposome Company,",  Inc.", The 
Litmus Concepts Inc, ,,
Lockheed Martin-Commercial, ,,
Lumigen Inc, ,,
Luna Innovations Inc-Medical, ,,
MAST Immunosystems, Mast Immunosystems ,,
MD Pharmaceutical Inc,,,
MDT Corp, ,,
MPL Technologies Inc, ,,
Mallinckrodt Inc-Catalyst, ,,
Maret Corp, Maret Corporation ,,
Matrix Pharmaceutical Inc, Matrix Pharmaceutical,",  Inc. ",
Maxim Pharmaceuticals Inc, Maxim Pharmaceuticals,",  Inc. ",
Maxwell Electronic Components, ,,
McGaw Inc, McGaw,",  Inc. ",
Meadox Medicals Inc, ,,
Med-Chek Laboratories Inc, ,,
MedChem Products Inc, ,,
MedImmune Inc-Certain Assets, ,,
Medarex Inc, Medarex,",  Inc. ",
Medco Research Inc, Medco Research,",  Inc. ",
Medex Inc, Medx,",  Inc. ",
Medicine Lodge Inc,  ,,
Meditrol Inc,  ,,
Medivance Inc, MediVance,",  Inc. ",
Medrad Inc, Medrad,",  Inc. ",
Medtronic Inc-Bravo pH, Medtronic,",  Inc. ",
Megan Health Inc, Megan Health,",  Inc. ",
Mentor Corp,  ,,
Mentor O&O Inc,  ,,
Mercator Genetics Inc, Mercator Genetics,",  Inc. ",
MetPath Inc, MetPath,",  Inc. ",
Metabolex Inc, Metabolex,",  Inc. ",
Metra Biosystems Inc, Metra Biosystems,",  Inc. ",
Micro Therapeutics Inc, Micro Therapeutics,",  Inc. ",
MicroVention Inc, MicroVention,",  Inc. ",
Microline Inc, Microline Inc ,,
Microsurge Inc, Microsurge,",  Inc. ",
Microtek Medical Inc, Microtek Medical Holdings,",  Inc. ",
Micrus Endovascular Corp, Micrus Endovascular Corporation ,,
Millennium Pharmaceuticals Inc, Millenium Pharmaceuticals,",  Inc. ",
Mini-Mitter Co Inc, ,,
Minntech Corp, Minntech Corporation ,,
Molecular Biosystems Inc, Molecular Biosystems,",  Inc. ",
Molecular Devices Corp, Molecular Devices Corp ,,
Molecular Probes Inc, ,,
Moxtek Inc, ,,
Mycogen Corp(Dow AgroSciences), Mycogen Corporation ,,
NAMIC USA Corp, ,,
NOVEX, ,,
NanoGram Devices Corp, ,,
NanoSystems LLC(Eastman Kodak), ,,
Navicyte Inc,,,
Navius Corp, ,,
NeXstar Pharmaceuticals Inc, NeXstar Pharmaceuticals,",  Inc. ",
Nektar Therapeutics-Pulmonary, Nektar Therapeutics ,,
Nellcor Puritan-Bennett, Nellcor Puritan-Bennett ,,
Nellix Endovascular Inc, Nellix Endovascular,",  Inc. ",
NeoRx Corp, ,,
Neocardia LLC, ,,
Neogenesis Pharmaceuticals Inc, NeoGenesis,",  Inc.",
Neomend Inc, NeoMend,",  Inc. ",
Neucoll Inc, ,,
Neurex Corp, Neurex Corporation ,,
Neurogen Corp, Neurogen Corporation ,,
New Dimensions in Medicine, ,,
New England Nuclear Corp, New England Nuclear Corporation ,,
NexMed Inc-Alprox Brand Rights, ,,
NextWave Pharmaceuticals Inc, NextWave Pharmaceuticals,",  Inc. ",
Nimbus Medical Inc, Nimbus Medical,",  Inc. ",
Norcliff-Thayer Inc, ,,
Norian Corp, Norian Corporation ,,
North American Vaccine Inc, North American Vaccine,",  Inc. ",
Nova Technologies Inc, Nova Technologies,",  Inc. ",
Novacept, Novacept,",  Inc. ",
Novatis AG-Fiorinal Brands, ,,
Nutrition 21 LP, Nutritional Laboratories International,",  Inc. ",
OR Solutions Inc, ,,
Oculex Pharmaceuticals Inc, Oculex Pharmaceuticals,",  Inc. ",
OmegaTech Inc, ,,
Omrix Biopharmaceuticals Inc, Omrix Biopharmaceuticals,",  Inc. ",
Oncor Inc-Hybridization Assets, Oncor,",  Inc.",
OncorMed Inc,  ,,
Oncotech Inc, ,,
Operon Technologies Inc, ,,
Opus Medical Inc, Opus Medical,",  Inc. ",
OraPharma Inc, OraPharma,",  Inc. ",
Oratec Interventions Inc, Oratec Interventions,",  Inc. ",
Origin Medsystems Inc, Origin Medsystems,",  Inc. ",
Ortho-McNeil Pharmaceutical, ,,
Orthopaedic Biosystems Ltd, Orthopaedic Bio-Systems ,,
Oscient Pharm Corp-Antara, Oscient Pharmaceuticals Corp. ,,
Osiris Therapeutics Inc-, Osiris Therapeutics,",  Inc. ",
OsteoBiologics Inc, OsteoBiologics,",  Inc. ",
Osteotech Inc, Osteotech,",  Inc. ",
Ovion Inc, ,,
PRP Inc, PRP,",  Inc. ",
PTC Therapeutics Inc, PTC Therapeutics,",  Inc. ",
Panomics Inc, Panomics,",  Inc. ",
Pharmacopeia Inc, Pharmacopeia,",  Inc. ",
Pharmos Corp, Pharmos Corporation ,,
Positron Corp, Positron Corporation ,,
Praecis Pharmaceuticals Inc, Praecis Pharmaceuticals,",  Inc. ",
Praxis Biologics Inc, ,,
Prima Tech USA LLC,,,
Primus Corp, ,,
Prism Enterprises LP, aPrism Enterprises,",  Inc. ",
Pro Duct Health Inc, Pro-Duct Health,",  Inc. ",
Procter & Gamble-Clearasil, ,,
Prolab Nutritional Inc, ,,
Protocol Systems Inc, Protocol Systems,",  Inc. ",
Proxima Therapeutics Inc, Proxima Therapeutics,",  Inc. ",
Pryon Corp(Zemex Corp), Pryon Corporation ,,
Pulmonetic Systems Inc, ,,
Puritan-Bennett, ,,
Puritan-Bennett Corp-Datex, ,,
R&D Associates, ,,
RP Scherer Corp, ,,
Radiance Medical Systems Inc, ,,
Radionics Inc, ,,
Rapigene Inc, ,,
Reichert Inc, Reichert,",  Inc. ",
Renovis Inc, Renovis,",  Inc. ",
Reprogenesis Inc, Reprogenesis,",  Inc. ",
Ribozyme Pharmaceuticals Inc, Rib-X Pharmaceuticals,",  Inc. ",
Richardson-Vicks Inc, ,,
Ricon Corp, ,,
Rochester Medical Corp, ,,
Rohm & Haas Co-Agricultural, ,,
Rosetta Inpharmatics Inc, Rosetta Inpharmatics,",  Inc. ",
Royster Co, ,,
Rugby Group Inc, ,,
SDS Enterprises Inc, ,,
SEQUUS Pharmaceuticals Inc, Sequus Pharmaceuticals,",  Inc. ",
SIBIA Neurosciences Inc, ,,
SUGEN Inc, Sugen,",  Inc. ",
Safer Inc, Safer,",  Inc. ",
Salmedix Inc, Salmedix,",  Inc. ",
Salus Therapeutics Inc, Salus Therapeutics,",  Inc. ",
San Diego Swiss Machining Inc, ,,
Sano Corp,,,
Schein Pharmaceutical Inc, ,,
SciMed Life Systems Inc, SciMed Life Systems,",  Inc. ",
Sciele Pharma Inc, ,,
Scios Inc, Scios Nova,",  Inc.(F.K.A Scios Inc)California Biotechnology) ",
Scios Nova Inc, Scios Nova,",  Inc.(F.K.A Scios Inc)California Biotechnology) ",
Security Tag Systems Inc, ,,
Selectide Corp, Selectide Corporation ,,
SemEquip Inc, ,,
SenoRx Inc, SenoRx,",  Inc.  ",
Sensor Devices Inc, ,,
SensorMedics Corp, SensorMedics Corporation ,,
Sentinel Monitoring Inc, Sentinel Monitoring Technologies ,,
Sequana Therapeutics, Sequana Therapeutics,",  Inc. ",
Shaklee Corp, ,,
Shape Pharmaceuticals Inc, Shape Pharmaceuticals,",  Inc. ",
Shearwater Corp, ,,
Shiley Inc-Product Lines, ,,
Signal Pharmaceuticals Inc, Signal Pharmaceuticals,",  Inc. ",
Signet Laboratories Inc, ,,
Simulaids Inc, ,,
Sirna Therapeutics Inc, Sirna Therapeutics,",  Inc. ",
Solexa Inc, Solexa,",  Inc. ",
Somatix Corp, ,,
Somatix Therapy Corp, Somatix Therapy Corporation ,,
Somatogen Inc, ,,
SonaMed Corp, ,,
SonoSite Inc, ,,
SpaceLabs Medical Inc, ,,
Sparta Pharmaceuticals Inc, ,,
Sparta Surgical Corp-Wound, ,,
Specialized Health Prod Intl, Specialized Health Products Int'l,",  Inc. ",
Spectra Physics Inc, ,,
Spectra-Physics Inc, ,,
Spectramed Inc, Spectramed,",  Inc. ",
Spectrum San Diego Inc, ,,
Spinal Concepts Inc, Spinal Concepts,",  Inc. ",
Spinal Dynamics, Spinal Dynamics Corporation ,,
Spinal Specialties Inc, ,,
SpineCore Inc, SpineCore,",  Inc. ",
St Francis Med Tech Inc, St. Francis Medical Technologies,",  Inc.",
Staodyn Inc, ,,
Stauffer Chem-Speciality Chem, ,,
Stauffer Chemical Co, ,,
StemCells Inc, StemCells Inc. ,,
Sterling Medivations Inc, Sterling Medivations ,,
Sterling Winthrop Inc, ,,
Sterling Winthrop-Med Image,,,
Sterling Winthrop-Mfg Plant, ,,
SunPharm Corp, SunPharm Corporation ,,
Supelco Inc, ,,
Superior MicroPowders LLC,,,
SurVivaLink Corp, Survivalink Corporation ,,
Suros Surgical Systems Inc, Suros Surgical Systems,",  Inc. ",
Survivair Inc, Survivalink Corporation ,,
Sutter Corp(Columbia/HCA), ,,
Symbiosis Corp, ,,
Synaptic Pharmaceutical Corp, Synaptic Pharmaceutical Corporation ,,
Synergen Inc, ,,
Synergetics Inc, ,,
Synthetech Inc, ,,
Syntro Corp, Syntro Corporation ,,
Syrrx Inc, ,,
THM Biomedical Inc, ,,
TSI Corp, TSI Corporation ,,
Talaria Therapeutics Inc, ,,
Tanox Inc, Tanox,",  Inc. ",
Target Therapeutics Inc,,,
Targeted Genetics Corp, ,,
Targeted Genetics Corp-Mnfg As, ,,
Technogenetics Inc(Recordati), ,,
Tecnol Medical Products Inc, ,,
Teknar Inc, ,,
Teletransaction, ,,
Tenax Holding Corp, Tenax Corp. ,,
Tetra Tech Inc, ,,
TheraSense Inc, TheraSense,",  Inc. ",
TheraTech Inc, TheraTech,",  Inc. ",
Thermo Trilogy Corp, ,,
ThermoTrex Corp, ,,
Third Wave Technologies Inc, Third Wave Technologies,",  Inc. ",
TissueInformatics Inc, ,,
Transave Inc, Transave,",  Inc. ",
Transcend Therapeutics Inc, Transcend Therapeutics,",  Inc. ",
Transneuronix Inc, ,,
Trega Biosciences Inc, Trega Biosciences Inc. ,,
Trex Communications Corp, ,,
Trex Medical Corp(ThermoTrex), Trex Medical Corporation ,,
Triarco Industries Inc, ,,
Tripath Imaging Inc, ,,
Tularik Inc, Tularik,",  Inc. ",
US Bioscience Inc, ,,
US Endoscopy Group Inc, ,,
USB Corp, ,,
Uentech Corp(ORS Corp), ,,
Unimed Pharmaceuticals Inc, ,,
Union Carbide-Agricultural Bus, ,,
United AgriSeeds Inc, United Agriseeds,",  Inc. ",
University of Missouri-RADIL, ,,
UroCor Inc, ,,
Uroquest Medical Corp, ,,
VIASYS Healthcare Inc, ,,
VacTex Inc(Procept Inc), VacTex,",  Inc.",
Valleylab Inc, Valleylab,",  Inc. ",
Valleylab Inc(Pfizer Inc), Valleylab,",  Inc. ",
Variagenics Inc, Variagenics,",  Inc. ",
VasCon LLC-Certain Assets, ,,
Vela Pharmaceuticals Inc, Vela Pharmaceuticals,",  Inc. ",
Ventrex Laboratories Inc, ,,
Veratex Corp(Omnicare Inc), ,,
Verax Corp-CGMP Mfg Facility, Verax Corporation ,,
ViaCell Inc, ,,
Vigoro Corp, ,,
Viking Systems Inc, ,,
Virbac Corp, ,,
Vital Signs Inc, ,,
Walter Lorenz Surgical, ,,
Whitby Inc(Ethyl Corp), ,,
Whittaker Bioproducts Inc, ,,
World Heart Corp, WorldHeart Corporation ,,
Worldwide Sport Nutritional, ,,
X Technologies Inc, ,,
X-Ceptor Therapeutics Inc, X-Ceptor Therapeutics,",  Inc. ",
Xenogen Corp, Xenogen Corporation ,,
Xtrana Inc-Biopool Hemostasis, ,,
ZEVEX International Inc, ,,
Zycos Inc, Zycos,",  Inc. ",
Zymed Laboratories Inc, Zymed,",  Inc.",
ZymoGenetics Inc, ZymoGenetics,",  Inc. ",
biosys, Biosys,",  Inc. ",
ev3 Inc-Percutaneous Heart, ev3,",  Inc.",
i-Stat Corp, I-STAT Corporation ,,
